ID,C14:0,C15:0,C16:0,C16:1n-7,C17:0,C18:0,C18:1n-9,C18:1n-7,"C18:2 n-6, LA","C18:3 n-6, GLA","C18:3 n-3, ALA",C20:0,C20:1n-9,C20:2n-6,C20:3 n-6,"C20:4n-6, AA",C22:0,"C20:5n-3, EPA",C22:4n-6 ,C24:0,C24:1n-9,"C22:5n3, DPA","C22:6n3, DHA"
399513-008,-1.55954209,-2.445246732,-0.316842563,-2.346077152,-2.324451618,-0.611972675,-1.312707595,-2.574392758,-1.13984147,-2.686597225,-2.187561149,-2.342897615,-3.081591772,-3.449584112,-2.265652807,-1.264798404,-2.363680483,-2.214386002,-2.414197361,-2.414533526,-3.161061732,-2.536781789,-1.900387103
399513-009,-1.910904093,-2.41098588,-0.333124453,-2.303945037,-2.316293996,-0.611204591,-1.399625161,-2.45144862,-1.074608506,-2.932348686,-2.499247235,-2.425485643,-3.121520101,-3.330435933,-2.190234941,-1.055891601,-2.32506949,-2.478186835,-2.268626222,-2.278168952,-2.860341956,-2.591056676,-1.987133544
399513-010,-1.708616986,-2.466883104,-0.352170641,-2.404630879,-2.268549203,-0.593054129,-1.339866456,-2.436889552,-1.046920381,-2.841443295,-2.119242217,-2.24025552,-2.466120914,-3.262675598,-2.301360112,-1.213323453,-2.262719772,-2.21791663,-2.169147969,-2.251735749,-2.707323623,-2.47193641,-1.859569238
399513-011,-2.076132241,-2.607065982,-0.356098321,-2.477056129,-2.400487866,-0.570460721,-1.384041285,-2.488894832,-1.003733179,-3.249300592,-2.424630643,-2.195142265,-3.253265626,-3.376840828,-2.286741106,-1.103203084,-2.154187897,-3.21758876,-2.062534181,-2.151497149,-2.867392138,-2.767394414,-2.215975022
399513-012,-1.909671412,-2.504752899,-0.31743649,-2.435434071,-2.343350965,-0.617823335,-1.252302016,-2.410364055,-1.086625906,-2.837669103,-2.506168325,-2.334166691,-3.257174392,-3.429603305,-2.265712105,-1.179749021,-2.316601033,-2.50760108,-2.30955538,-2.271700837,-2.971584683,-2.592456695,-2.106534356
399513-013,-1.809146682,-2.602446511,-0.328309508,-2.557685966,-2.398763056,-0.613026838,-1.291749,-2.494675987,-1.015000312,-2.963349087,-2.497296852,-2.359790481,-3.100420504,-3.38839384,-2.237437056,-1.181948302,-2.324059036,-2.72656833,-2.224148174,-2.279645288,-2.893280142,-2.671447652,-2.113167395
399513-014,-2.137474462,-2.563392912,-0.352266982,-2.650515515,-2.388985234,-0.568362097,-1.372847211,-2.485118384,-1.037051703,-2.966251258,-2.56649182,-2.207937383,-3.085807931,-3.417101807,-2.24040222,-1.102621914,-2.171112934,-2.590241536,-2.135518787,-2.275284063,-2.936719181,-2.567594551,-2.030268815
399513-015,-1.858138268,-2.513444329,-0.349538287,-2.483048619,-2.43254228,-0.600650398,-1.329266448,-2.553025812,-1.005584213,-2.734154592,-2.500403619,-2.435089212,-3.245917456,-3.461424255,-2.171008709,-1.067276112,-2.360944447,-2.805599414,-2.102892944,-2.405699355,-3.2365157,-2.648130351,-2.205812756
399513-016,-1.651257226,-2.384378462,-0.34370289,-2.434453155,-2.298674865,-0.601254917,-1.366361585,-2.513731634,-1.043770784,-2.640076409,-2.23968924,-2.405040598,-3.187406503,-3.37631738,-2.203880555,-1.163096972,-2.437097312,-2.050458268,-2.344950719,-2.343676343,-2.999526748,-2.511945985,-1.982296365
399513-017,-1.794780206,-2.431309586,-0.332165163,-2.458893865,-2.28849764,-0.616552931,-1.347067714,-2.449679257,-1.002169051,-3.038677941,-2.731244504,-2.417111254,-3.208027513,-3.494868338,-2.371079662,-1.130591445,-2.280217745,-2.525633685,-2.335114773,-2.293470665,-2.888258354,-2.65502023,-2.075083437
399513-018,-1.933550962,-2.528144772,-0.322809853,-2.333542383,-2.322554511,-0.636307475,-1.326431414,-2.437608109,-1.02599389,-2.810751929,-2.499245937,-2.434644938,-3.260255826,-3.357715481,-2.161542021,-1.121679103,-2.320988189,-2.497597933,-2.326079183,-2.306367452,-2.842228254,-2.672161785,-1.970294459
399513-019,-1.96237191,-2.568351048,-0.307680309,-2.227087665,-2.336945055,-0.638615674,-1.305959496,-2.352536469,-1.117215134,-3.335922536,-2.599591916,-2.379638666,-3.200462651,-3.464056361,-2.347683406,-1.139311106,-2.182232529,-2.358983096,-2.38557264,-2.257631361,-2.836537289,-2.708453067,-1.86885942
399513-020,-2.126650246,-2.512928179,-0.336121547,-2.516507615,-2.239469938,-0.609966332,-1.344911288,-2.422200756,-1.02984855,-3.108105076,-2.443049164,-2.366628495,-3.202755283,-3.443765933,-2.464390046,-1.120873802,-2.177040255,-2.226950922,-2.344666013,-2.167866661,-2.78070387,-2.65732475,-1.840853949
399513-021,-1.916994515,-2.56658158,-0.325122953,-2.226316032,-2.374191798,-0.623451116,-1.306271958,-2.392312892,-1.023681929,-3.070676592,-2.442333546,-2.431855552,-3.266544442,-3.375603803,-2.254629235,-1.160514036,-2.258082042,-2.616627855,-2.327287645,-2.267099843,-2.838295723,-2.640745746,-2.018649621
399513-022,-2.043401164,-2.560970656,-0.320127646,-2.315156278,-2.287372293,-0.604095005,-1.318235591,-2.391348988,-1.071866817,-3.448512994,-2.471586371,-2.410112119,-3.151293837,-3.422031456,-2.330146243,-1.19568723,-2.248662986,-2.308795942,-2.35972501,-2.269204239,-2.850155357,-2.698171448,-1.904904547
399513-023,-1.803501084,-2.633666871,-0.30272347,-2.318073529,-2.348489203,-0.591932691,-1.417391594,-2.504081617,-1.276879568,-3.111692327,-2.634214466,-2.37899981,-3.25185869,-3.511045797,-2.475514951,-1.159758351,-2.248273023,-2.00338702,-2.472871216,-2.312518038,-2.840506317,-2.4393172,-1.845154643
399513-024,-1.863038236,-2.384751384,-0.343953424,-2.488193821,-2.362726074,-0.596656311,-1.383703391,-2.542202928,-1.075312552,-2.942927429,-2.50848048,-2.408100535,-3.264906924,-3.457962185,-2.266162393,-1.080317225,-2.260122878,-2.032988787,-2.364735117,-2.239601206,-3.005052573,-2.529677211,-1.87777961
399513-025,-1.793437777,-2.392779354,-0.318937412,-2.297029909,-2.223728325,-0.629211306,-1.263126564,-2.479119473,-1.105346866,-2.717420326,-2.330617986,-2.483255045,-3.233132875,-3.537902088,-2.306883979,-1.194472188,-2.450001894,-2.071977262,-2.358137048,-2.500687638,-3.155887431,-2.517898303,-1.855001268
402736-001,-2.046430109,-2.558169275,-0.315206628,-2.356640329,-2.446211656,-0.637779552,-1.324118096,-2.383418423,-0.964473053,-3.343366054,-2.36314922,-2.522506063,-3.373148714,-3.472534739,-2.445299856,-1.165708885,-2.482751602,-2.513926749,-2.593009867,-2.398967933,-3.269472517,-2.675641713,-2.013791544
402736-002,-1.648579731,-2.481783681,-0.328263641,-2.660123407,-2.382505116,-0.55863909,-1.321207661,-2.471087515,-1.154172403,-3.045532727,-2.307964604,-2.390781275,-3.352149689,-3.510656403,-2.363727553,-1.222034527,-2.39630098,-2.416022416,-2.512904559,-2.523408717,-3.194821675,-2.685421334,-2.082157152
402736-003,-1.831727912,-2.630144993,-0.353299757,-2.811889224,-2.403427921,-0.611190865,-1.311692626,-2.554491249,-0.896571865,-3.103169503,-1.944662665,-2.348895622,-3.180263329,-3.40955106,-2.506992136,-1.198143886,-2.48001809,-2.35890102,-2.546386126,-2.472560158,-3.213541845,-2.725527112,-2.007485363
402736-004,-1.820530964,-2.612473974,-0.301638547,-2.314495473,-2.563550648,-0.681260883,-1.30428074,-2.492558328,-0.960317823,-2.705513811,-2.350370488,-2.589440675,-3.437999677,-3.458429988,-2.225583395,-1.170888576,-2.534996934,-2.686939493,-2.525376176,-2.376227829,-3.240792791,-2.788531856,-2.157659454
402736-005,-1.984801629,-2.735401117,-0.281002212,-2.128411938,-2.585942035,-0.677497734,-1.270824352,-2.394485006,-0.997559107,-3.029203711,-2.363026187,-2.611575654,-3.324774309,-3.318486796,-2.13572588,-1.313809682,-2.583302049,-2.542009411,-2.564288227,-2.652651312,-3.074585636,-2.696774142,-2.114356489
402736-006,-1.876533623,-2.700810046,-0.268690258,-1.811533645,-2.678685672,-0.711563528,-1.287337819,-2.397255504,-1.223289411,-2.66733228,-2.712787324,-2.548517663,-3.397734833,-3.607965408,-2.27200933,-1.100066377,-2.471461529,-2.416920701,-2.451818061,-2.343621087,-3.055668187,-2.766916233,-2.083155439
402736-007,-1.749365593,-2.387179593,-0.301532273,-2.178440999,-2.382336988,-0.682102442,-1.330026725,-2.446893936,-1.000325815,-2.648764101,-2.439160624,-2.605953255,-3.429849014,-3.486351313,-2.221628146,-1.157006304,-2.600157127,-2.406274123,-2.565634764,-2.36242767,-3.154167876,-2.739238265,-2.082070647
402736-008,-1.827909106,-2.543312152,-0.318744717,-2.262450124,-2.354311858,-0.654099991,-1.282925732,-2.464469191,-0.999217606,-2.644896311,-1.50796435,-2.275432421,-3.242852922,-3.37884417,-2.300325501,-1.336875642,-2.595285437,-2.258666395,-2.599603583,-2.576985959,-3.214947423,-2.591401276,-2.134604144
402736-009,-2.006157482,-2.689423825,-0.336360418,-2.544167989,-2.43889951,-0.619907366,-1.352933396,-2.404595627,-0.870779921,-3.101756176,-2.272699018,-2.438115403,-3.221906112,-3.424555827,-2.43277431,-1.222476011,-2.405502792,-2.494310869,-2.44311748,-2.379574444,-3.006521346,-2.760773323,-2.274969199
402736-010,-2.13149025,-2.586155542,-0.337257406,-2.593015092,-2.361599172,-0.610299771,-1.31158528,-2.454400983,-0.925139474,-3.296389248,-2.557000757,-2.389138846,-3.406557983,-3.496803285,-2.320588229,-1.156417972,-2.416700419,-2.622062893,-2.546635083,-2.391793529,-3.206578658,-2.746717055,-2.094861723
402736-011,-1.74184451,-2.403513463,-0.313689557,-2.346820582,-2.368240574,-0.633637849,-1.396040548,-2.561992061,-1.009210886,-3.005034647,-2.510338916,-2.527476005,-3.438219357,-3.517319503,-2.266248631,-1.206888667,-2.378429036,-2.097962594,-2.39610789,-2.589006691,-2.984866032,-2.663554542,-1.906445921
402736-012,-1.921000183,-2.72646768,-0.321351773,-2.378956472,-2.474401196,-0.621031505,-1.308716532,-2.497845062,-1.0224698,-2.70073073,-2.437112821,-2.509480931,-3.406230505,-3.439451129,-2.172352005,-1.121250849,-2.417511945,-2.879908486,-2.391549239,-2.350263662,-3.018107111,-2.872359313,-2.175073414
402736-013,-2.166670069,-2.614520006,-0.321465147,-2.389054204,-2.378108266,-0.640363052,-1.373393001,-2.391151922,-0.971282165,-3.331886617,-2.370181055,-2.439411357,-3.352242036,-3.449848136,-2.4498985,-1.1266996,-2.288564128,-2.108070331,-2.321920451,-2.383894754,-2.909972453,-2.678277094,-1.986459438
402736-014,-2.045383777,-2.522715372,-0.351011128,-2.521094978,-2.252197845,-0.590455572,-1.436890435,-2.494359965,-0.974021384,-3.064397082,-2.03579838,-2.372363387,-3.255103208,-3.522782507,-2.385396249,-1.15283975,-2.346432127,-1.840225465,-2.40336375,-2.578244126,-2.946019343,-2.636595453,-1.928760682
402736-015,-2.0141159,-2.530160596,-0.335950132,-2.374871125,-2.386456278,-0.640383306,-1.233651763,-2.401370113,-0.919536399,-3.768604148,-2.13803689,-2.171708182,-3.189653513,-3.653468773,-2.833580597,-1.201793705,-2.165572075,-2.915302453,-2.341043233,-2.445445074,-3.106529356,-2.991769015,-2.249872244
402736-016,-1.915748493,-2.463817971,-0.316232626,-2.317632319,-2.328431854,-0.664426835,-1.309683532,-2.412175886,-0.896594635,-3.257620701,-2.324102082,-2.513409873,-3.392542581,-3.449034742,-2.531660167,-1.245577537,-2.40684703,-2.305060847,-2.44394363,-2.656583584,-3.030991274,-2.749153977,-2.044812811
402736-017,-1.810497419,-2.39790839,-0.307763223,-2.312161019,-2.312399383,-0.648790376,-1.33767227,-2.498108474,-1.0089269,-3.383133432,-2.102115091,-2.405807137,-3.427865925,-3.399698227,-2.413643094,-1.239343893,-2.316797255,-2.363169712,-2.3847086,-2.574840368,-2.991447373,-2.759834005,-1.880584755
402736-018,-1.712637733,-2.481630807,-0.337336838,-2.463675718,-2.380757559,-0.583207133,-1.410435298,-2.570702953,-0.987013358,-3.315270667,-2.607781284,-2.485704824,-3.272406262,-3.413189806,-2.341246575,-1.208796515,-2.355584581,-2.312001484,-2.311174714,-2.310421593,-2.966892599,-2.676843942,-2.104451316
402736-019,-1.967757772,-2.480760022,-0.31871014,-2.531038572,-2.357265259,-0.57759638,-1.359330878,-2.49658256,-1.116805557,-3.35037556,-2.924896933,-2.429789134,-3.183361963,-3.456601594,-2.483629907,-1.201863324,-2.345909801,-2.058826363,-2.365130515,-2.409396947,-2.941438856,-2.473776026,-1.928579739
402736-020,-2.006536824,-2.61829441,-0.318728552,-2.408539406,-2.373303246,-0.57624777,-1.460141855,-2.43328896,-1.248205393,-3.397720565,-2.359736972,-2.376362524,-3.338056925,-3.544840232,-2.548326544,-1.089280082,-2.262201397,-1.912613926,-2.370476526,-2.49011064,-2.850918975,-2.448028895,-1.833139711
402736-021,-1.943794644,-2.505497914,-0.353980905,-2.628421894,-2.391539482,-0.56907334,-1.42494871,-2.555563287,-1.035684409,-3.309814519,-2.829251839,-2.459819315,-3.277645617,-3.324865186,-2.264481466,-1.048804301,-2.277216581,-3.088066222,-2.177197493,-2.049169938,-2.877206643,-2.757853893,-2.1097383
402736-022,-1.97491072,-2.678976229,-0.314603845,-2.355710048,-2.449605167,-0.608791095,-1.388886513,-2.422666421,-1.138088462,-2.801264245,-2.716715484,-2.586960914,-3.386586983,-3.43515528,-2.257160657,-1.064628116,-2.441898473,-2.373325723,-2.285873312,-2.291597489,-2.803003515,-2.624351521,-1.997168103
402736-023,-1.871073519,-2.540860187,-0.324458657,-2.378191374,-2.357791608,-0.617053077,-1.37768372,-2.505177577,-1.064745048,-2.795849059,-2.602930312,-2.455259758,-3.407407786,-3.467655507,-2.210961751,-1.097895986,-2.248052192,-2.428113917,-2.192096911,-2.248848336,-2.883377236,-2.674380662,-2.048444361
402736-024,-2.266252833,-2.660583717,-0.336150376,-2.611486132,-2.375628661,-0.582317662,-1.406718377,-2.496991564,-0.98271063,-3.631516549,-2.612880969,-2.379164767,-3.251703391,-3.342117104,-2.382382142,-1.133071809,-2.216383181,-2.761003754,-2.233276963,-2.307753047,-2.764528624,-2.762954452,-2.070632245
402736-025,-1.906085232,-2.478638303,-0.319250831,-2.336300913,-2.346642201,-0.63202638,-1.299220528,-2.492353581,-0.969118108,-3.236009191,-2.481438238,-2.472833117,-3.306831125,-3.385545972,-2.159058835,-1.241278757,-2.314549534,-2.689006874,-2.293236161,-2.314755978,-2.86721975,-2.795316749,-2.065226154
402736-026,-1.81768477,-2.379568048,-0.314937406,-1.981254437,-2.198924817,-0.633625692,-1.311827551,-2.350865459,-1.2250519,-3.193928661,-2.755414261,-2.482316057,-3.44617223,-3.473479582,-2.160297099,-1.061682061,-2.283198015,-2.636450494,-2.290572834,-2.181480804,-2.860310781,-2.650029094,-1.972010766
402736-027,-2.003483141,-2.512025658,-0.334543367,-2.453078238,-2.357225186,-0.641247609,-1.350773931,-2.498637727,-0.911963983,-3.101493997,-2.520423216,-2.445795223,-3.373596476,-3.482356913,-2.381361512,-1.134661354,-2.263024099,-2.523158433,-2.285614583,-2.343501889,-2.902544034,-2.80462926,-1.982618523
402736-028,-1.973738049,-2.483709607,-0.376706022,-2.490066399,-2.258150141,-0.612324676,-1.394126909,-2.474998611,-0.926638538,-2.897621832,-1.515476821,-2.249114263,-3.283161112,-3.477095256,-2.415211021,-1.104415895,-2.428579471,-2.086413091,-2.517808211,-2.588647354,-3.047967585,-2.627225183,-2.048901489
402736-029,-1.581227752,-2.276628107,-0.29765948,-2.368630623,-2.337606344,-0.624269777,-1.422271512,-2.572679784,-1.11552191,-2.953552193,-2.69600886,-2.470186881,-3.384104197,-3.401930128,-2.267790619,-1.216514505,-2.37515644,-2.589582826,-2.366059095,-2.307264811,-2.943129016,-2.676331002,-2.125495288
402736-030,-2.064095513,-2.530399457,-0.322419519,-2.413485962,-2.295520559,-0.606933089,-1.329714712,-2.407949258,-0.98872261,-3.566456403,-2.697408808,-2.500258616,-3.409994236,-3.462263473,-2.390025764,-1.205399182,-2.377644834,-2.300160092,-2.370158434,-2.437963107,-2.901236525,-2.594893526,-2.052283244
402736-031,-1.862273068,-2.497911246,-0.313659465,-2.310717306,-2.392838884,-0.580418305,-1.388533727,-2.485054115,-1.09658496,-3.332229911,-2.647107669,-2.470529053,-3.409966692,-3.455869163,-2.379513471,-1.218912272,-2.372209449,-2.405239251,-2.384700321,-2.486630304,-2.919752155,-2.901091507,-1.949625466
402736-032,-2.083554948,-2.527887469,-0.325752653,-2.562470287,-2.295526974,-0.570762214,-1.378472091,-2.482477076,-1.047661274,-3.624473084,-2.661004687,-2.407704304,-3.325150705,-3.454830052,-2.371666036,-1.210683262,-2.327049786,-2.470311982,-2.29381419,-2.391457218,-2.843117742,-2.766367908,-1.949959763
402736-033,-2.13575499,-2.679222319,-0.322044034,-2.430492968,-2.52924604,-0.569485025,-1.406379259,-2.518355906,-1.08474992,-3.60369075,-2.760126782,-2.393198076,-3.288162574,-3.375900004,-2.39331958,-1.152912059,-2.250582553,-2.85665868,-2.18395288,-2.182103438,-2.754967479,-2.767223047,-2.08168861
402736-034,-2.125889337,-2.57744054,-0.303908694,-2.274425946,-2.422426807,-0.630285554,-1.35303867,-2.393150785,-1.076247199,-3.36167567,-2.741781967,-2.485162788,-3.386543591,-3.472600706,-2.355802418,-1.12847528,-2.347326108,-2.449935751,-2.322399188,-2.441605283,-2.80241873,-2.860534389,-1.898188418
402736-035,-2.017788121,-2.64531013,-0.341300013,-2.583841994,-2.329300518,-0.573149449,-1.345279588,-2.427086261,-1.009781437,-2.866803445,-2.333902171,-2.469168767,-3.195344294,-3.299701496,-2.168821843,-1.218181976,-2.409335058,-2.314980725,-2.322240457,-2.379102409,-2.777218514,-2.565282499,-1.967323886
402736-036,-1.980745857,-2.630073473,-0.33772321,-2.550979429,-2.482192989,-0.580214006,-1.344343912,-2.550930226,-1.052147904,-2.971276232,-2.649245698,-2.474963343,-3.291679588,-3.434391163,-2.091241591,-1.12511773,-2.293853626,-2.887974486,-2.238366083,-2.066181413,-2.894571248,-2.73182751,-2.158368999
402736-037,-2.244625246,-2.62910023,-0.378937747,-2.276468978,-2.329655583,-0.529933935,-1.302247836,-2.353754741,-1.018162408,-3.13355107,-2.621712534,-2.275194118,-3.032088033,-3.325742222,-2.269679054,-1.154930816,-2.419616935,-2.269146276,-2.373097097,-2.233632688,-2.900396297,-2.620188222,-1.99342707
402736-038,-2.091736755,-2.545167824,-0.338685041,-2.467299975,-2.336367453,-0.617895263,-1.26561341,-2.384453152,-0.980045808,-3.118958559,-2.175625817,-2.353484665,-3.216045526,-3.434494567,-2.29387654,-1.130684767,-2.317788445,-2.643836564,-2.400783762,-2.500107686,-2.902851318,-2.712272218,-2.066150683
402736-039,-2.000853287,-2.530212997,-0.337127559,-2.442803703,-2.404325847,-0.597678462,-1.3849223,-2.523266171,-1.041761753,-2.90015132,-2.836952874,-2.49517036,-3.385610309,-3.504211499,-2.288151486,-1.033533527,-2.312981919,-3.037130083,-2.261787878,-2.18661152,-2.874138945,-2.845924302,-2.192962862
407813-001,-1.8419475,-2.642625015,-0.300158481,-2.259310542,-2.467956801,-0.647063904,-1.369031478,-2.354969334,-1.193525163,-3.30327085,-2.434993319,-2.001909022,-3.376925869,-3.598525258,-2.51614714,-1.168978816,-1.990539047,-1.886530687,-2.544415387,-2.245464118,-3.205106954,-2.474993928,-1.81831462
407813-002,-1.892754862,-2.516831263,-0.316348239,-2.342083155,-2.414469579,-0.652951869,-1.320497802,-2.435322685,-0.977619415,-3.15965301,-2.340184848,-2.13196579,-3.43603217,-3.455833175,-2.206398787,-1.231962757,-2.098412145,-2.185365446,-2.584209454,-2.285921842,-3.234530191,-2.67519914,-1.985234298
407813-003,-2.07633737,-2.55990368,-0.355958257,-2.497198748,-2.474061638,-0.57623319,-1.354353106,-2.489862604,-1.021555384,-3.205896809,-2.591707937,-2.105921998,-3.009429281,-3.469125194,-2.380016046,-1.087308987,-2.058615078,-2.729631231,-2.335778309,-2.136585253,-2.929479266,-2.607083264,-2.045917099
407813-004,-2.135099982,-2.543480997,-0.353250123,-2.585983308,-2.348338258,-0.602516364,-1.349121825,-2.394179115,-0.985776746,-3.538742316,-2.525753069,-2.103488527,-3.448286411,-3.556756548,-2.456751688,-1.070871008,-2.013513235,-2.532672011,-2.249873827,-2.149172505,-3.092880155,-2.669478456,-2.070380481
407813-005,-1.892157546,-2.542824971,-0.287205827,-2.377461897,-2.409374867,-0.648510245,-1.307798957,-2.408758141,-1.103945234,-3.195070859,-2.587948648,-2.354496845,-3.401729936,-3.533168611,-2.41417253,-1.262188219,-2.28331784,-1.97001987,-2.516465673,-2.391422198,-3.032462275,-2.594989529,-2.007709791
407813-006,-1.933426803,-2.347661907,-0.366216901,-2.699644036,-2.160697063,-0.58753952,-1.286244212,-2.503169135,-0.93141592,-3.16237497,-2.685039337,-2.40842182,-3.475372476,-3.515404314,-2.491764929,-1.143996696,-2.245425562,-2.425768931,-2.253337824,-2.306679609,-2.994444108,-2.617465333,-2.188301783
407813-007,-1.929711517,-2.502088708,-0.332027422,-2.601893403,-2.396785387,-0.616791958,-1.32223388,-2.463478582,-0.982263283,-3.49843953,-2.558299639,-2.318535156,-3.472163482,-3.472735344,-2.329891243,-1.144490501,-2.192921888,-2.459595886,-2.357792185,-2.292724734,-3.073809597,-2.724721892,-2.063251944
407813-008,-1.771255701,-2.53816079,-0.327233297,-2.36176736,-2.448833062,-0.635998018,-1.350758535,-2.460505059,-1.038414864,-2.661238223,-2.421944433,-2.289065709,-3.511684922,-3.462946918,-2.177600067,-1.125290559,-2.193473615,-2.293410271,-2.291681135,-2.258775969,-3.007867796,-2.648740763,-1.93233056
407813-009,-2.279963009,-2.661671375,-0.338002378,-2.518063586,-2.379042948,-0.614647521,-1.336125945,-2.40565615,-0.953521927,-3.382923252,-2.727993581,-2.314778978,-3.479150598,-3.532823577,-2.419248535,-1.119963307,-2.185004837,-2.26297879,-2.399234429,-2.309727186,-3.041785177,-2.578114104,-2.008640356
407813-010,-1.670054111,-2.588709192,-0.28809242,-2.318957777,-2.506771178,-0.66411464,-1.239451389,-2.380176301,-1.076304668,-2.910233446,-2.216230702,-2.3215648,-3.219602698,-3.472138208,-2.437483994,-1.30991708,-2.304326195,-2.443088865,-2.570096146,-2.451346765,-3.320052659,-2.835289744,-2.120849029
407813-011,-2.01456021,-2.540195884,-0.333373451,-2.427222827,-2.342963218,-0.622078298,-1.301288352,-2.328952696,-0.967810289,-3.209959248,-2.456959309,-2.240308828,-3.286665844,-3.353725733,-2.296498035,-1.180060062,-2.116298072,-2.524146459,-2.484639483,-2.277309442,-2.966461069,-2.66952664,-2.046914821
407813-012,-1.43341723,-2.331627886,-0.344512171,-2.554598739,-2.421757883,-0.624422207,-1.408598427,-2.492511851,-0.977775463,-2.793726683,-2.134054592,-2.190182488,-3.244976101,-3.212693527,-2.16925416,-1.228665877,-2.185847878,-2.542688055,-2.311067842,-2.09918953,-2.840198651,-2.572779687,-2.278328277
407813-013,-1.999155526,-2.549586564,-0.345333018,-2.523744839,-2.327926887,-0.580446158,-1.39555333,-2.489234972,-0.990626085,-3.22211677,-2.485105446,-2.295149718,-3.409985888,-3.393129393,-2.252780048,-1.155829617,-2.249006775,-2.560390967,-2.3535424,-2.250314143,-2.89320379,-2.743599689,-1.915820123
407813-014,-1.894727083,-2.60063869,-0.33971867,-2.433432522,-2.37556487,-0.628144341,-1.317969029,-2.455138356,-0.983888099,-2.825036426,-2.186552372,-1.966235722,-3.450441062,-3.418984848,-2.196400185,-1.215506656,-1.933185334,-2.373139529,-2.375594805,-2.077171602,-2.931822327,-2.572449533,-2.044249016
407813-015,-2.128182241,-2.713537441,-0.388125441,-2.965828071,-2.430217785,-0.601206473,-1.216707439,-2.719820138,-0.865343393,-3.13572064,-2.818869707,-1.900507369,-3.015032199,-3.339230088,-2.432294566,-1.216942381,-1.771604047,-2.709143168,-2.363008151,-1.889874555,-3.147172676,-2.602730186,-2.166966496
407813-016,-1.779494457,-2.351922696,-0.341731529,-2.370285095,-2.376348912,-0.605399413,-1.363952361,-2.438734291,-1.052952319,-3.047786922,-2.385645339,-2.071780685,-3.220573145,-3.369980059,-2.236022954,-1.133814113,-2.0729018,-2.56215956,-2.399269827,-2.104224851,-2.789018492,-2.519299868,-2.021288296
407813-017,-2.034304891,-2.602746856,-0.334363888,-2.540659424,-2.43425493,-0.597056097,-1.355285086,-2.442773546,-0.964056056,-3.760851296,-2.529483308,-2.109609851,-3.395360305,-3.415916504,-2.476432469,-1.22772929,-2.035066828,-2.756614329,-2.328117192,-2.103288186,-2.816825491,-2.749739813,-2.124988936
407813-018,-1.957619425,-2.622100821,-0.335599929,-2.375249252,-2.429274861,-0.625235246,-1.336867338,-2.454684151,-1.015525322,-3.076606533,-2.498579942,-2.170286797,-3.414395675,-3.430678075,-2.129964654,-1.121537183,-2.101902448,-2.478673896,-2.209813418,-2.129271263,-2.869856907,-2.462131924,-2.043834565
407813-019,-2.020282947,-2.755582397,-0.327885387,-2.542492598,-2.485236486,-0.615011295,-1.268707534,-2.416401244,-0.983998467,-3.00700203,-2.401432803,-2.251653516,-3.356911986,-3.37165708,-2.26624271,-1.181371025,-2.281408524,-2.736725453,-2.35329526,-2.392478684,-3.195034665,-2.56157694,-2.200138229
407813-020,-2.017457312,-2.547192842,-0.342803444,-2.594632013,-2.387046164,-0.595146363,-1.37347671,-2.416926441,-0.981915995,-3.28810697,-2.455736793,-2.234520841,-3.369762784,-3.402754731,-2.271805889,-1.157219766,-2.15670472,-2.481652726,-2.283166848,-2.202981651,-2.933261717,-2.452245676,-2.019767443
