ID,C14:0,C15:0,C16:0,C16:1n-7,C17:0,C18:0,C18:1n-9,C18:1n-7,"C18:2 n-6, LA","C18:3 n-6, GLA","C18:3 n-3, ALA",C20:0,C20:1n-9,C20:2n-6,C20:3 n-6,"C20:4n-6, AA",C22:0,"C20:5n-3, EPA",C22:4n-6 ,C24:0,C24:1n-9,"C22:5n3, DPA","C22:6n3, DHA"
407813-021,-1.945209935,-2.487256067,-0.354443963,-2.586334343,-2.375722619,-0.59581911,-1.328769775,-2.542611356,-1.010046406,-3.059238161,-2.650399397,-2.310514504,-3.417905903,-3.523059503,-2.326377994,-1.055618283,-2.217165393,-2.746669229,-2.225341426,-2.202462336,-2.891028321,-2.570799936,-2.05259287
407813-022,-2.073354909,-2.614387508,-0.335284425,-2.524916587,-2.418693998,-0.618324812,-1.316620352,-2.404004499,-0.944742418,-3.229538374,-2.207095194,-2.267638299,-3.35311896,-3.429421356,-2.353711382,-1.197790768,-2.225926996,-2.629604527,-2.250572762,-2.24167179,-2.893077554,-2.495915356,-2.092773078
407813-023,-2.074248786,-2.394435143,-0.316565327,-2.649401752,-2.054450433,-0.61028191,-1.497332173,-2.418827738,-1.079227381,-3.639036574,-1.899710097,-2.114143203,-3.030360056,-3.511102323,-2.765786844,-1.381117383,-2.144506431,-1.598863006,-3.030731583,-2.359613943,-2.560536641,-2.35427367,-1.729305901
407813-024,-2.077607903,-2.603869045,-0.360833418,-2.612866924,-2.370808291,-0.596545568,-1.40586842,-2.47203533,-0.976442711,-3.106912562,-2.481451828,-2.169866912,-3.377436356,-3.434244751,-2.321515563,-1.074535171,-2.063976353,-2.354536032,-2.260617139,-2.095508756,-2.778900517,-2.394219056,-1.926508887
407813-025,-1.998638614,-2.507637369,-0.346107086,-2.472641766,-2.33419494,-0.654673615,-1.301864477,-2.348388286,-0.940860327,-2.933972961,-2.106442863,-2.170385742,-3.360630181,-3.360670031,-2.220093969,-1.116528074,-2.085589355,-2.563418382,-2.162246721,-2.145036253,-2.865099125,-2.419903431,-2.11318621
407813-026,-1.918209829,-2.435191715,-0.303855437,-2.393486315,-2.229784667,-0.651239852,-1.377963857,-2.404812829,-1.069378088,-3.189198139,-1.923206917,-2.13221019,-3.033596145,-3.251562555,-2.411821142,-1.346194977,-2.163625799,-1.797414465,-2.700152502,-2.356161017,-2.660238663,-2.27809907,-1.812872738
WB-MHT1121,-1.789250744,-2.523627742,-0.336326892,-2.332146818,-2.520638274,-0.658763352,-1.302584446,-2.545038733,-1.00189733,-2.789948695,-2.404600207,-1.929626838,-3.559401047,-3.615584205,-2.2082675,-1.0822137,-1.976236988,-2.636576219,-2.198282234,-2.135322799,-3.519465274,-2.658000939,-2.500692698
WB-MHT1122,-1.970242081,-2.586378403,-0.36566358,-2.659077998,-2.458176431,-0.658175222,-1.289772022,-2.45841378,-0.758550946,-3.29838892,-2.589221379,-1.940606559,-3.367902003,-3.251161117,-2.225464134,-1.334487369,-1.938760062,-2.90987096,-2.444011113,-2.066483867,-3.356687095,-2.810158069,-2.299880859
WB-MHT1123,-1.62292897,-2.321516429,-0.349431542,-2.502043002,-2.33869378,-0.658370479,-1.268321828,-2.465264668,-0.911174579,-3.15377943,-2.48408887,-2.021764631,-3.476661777,-3.558610669,-2.239298372,-1.203420597,-2.056684147,-2.422520512,-2.526606708,-2.17190418,-3.224018921,-2.632597079,-2.135826559
WB-MHT1124,-1.820024734,-2.529235617,-0.337610378,-2.420951502,-2.387225727,-0.655999684,-1.188982033,-2.482868045,-1.041596813,-2.794411713,-2.672854808,-2.274071727,-3.423731896,-3.668912106,-2.199779617,-1.04740618,-2.268676363,-2.846843537,-2.109199736,-2.241446039,-3.172591401,-2.583711176,-2.429941991
WB-MHT1125,-1.728683412,-2.459500785,-0.341916352,-2.56850221,-2.408998103,-0.662056964,-1.147954151,-2.481706761,-1.05258979,-2.794631813,-2.715180433,-2.131810608,-3.218954127,-3.615604913,-2.158841106,-1.064302171,-2.106742071,-2.820610259,-2.247798879,-2.143589405,-3.142032143,-2.58881232,-2.488979419
WB-MHT1126,-1.809944684,-2.555431882,-0.355076856,-2.302001142,-2.499325389,-0.652836266,-1.32856918,-2.519229022,-0.975969541,-2.596703936,-2.472294375,-1.906364993,-3.531076602,-3.626888051,-2.108371197,-1.043277704,-1.922215573,-2.592888787,-2.347726528,-2.060737807,-3.055216421,-2.647899672,-2.364952838
WB-MHT1127,-1.735975122,-2.403158024,-0.347431196,-2.428121917,-2.309588979,-0.632779132,-1.153388339,-2.429560713,-1.067261932,-3.164867569,-2.326013608,-1.920531678,-3.279969651,-3.617072806,-2.190709127,-1.235018025,-1.947182934,-2.23684039,-2.447861018,-2.045363242,-3.104353227,-2.429048605,-2.077264157
WB-MHT1128,-1.733588181,-2.455975262,-0.35704666,-2.340816581,-2.436160118,-0.682902284,-1.099286504,-2.394317103,-0.934664606,-2.782782,-2.122976242,-2.028705553,-3.225148192,-3.509432807,-2.001949978,-1.212068998,-2.054739516,-2.876259166,-2.203644443,-2.123235134,-3.090280892,-2.754629163,-2.483571829
WB-MHT1129,-2.052898589,-2.46739862,-0.328214879,-2.464480296,-2.434988583,-0.695424515,-1.264899517,-2.410961792,-0.915514716,-2.824773461,-2.634534755,-2.250506738,-3.499044472,-3.56401116,-2.079553736,-1.075897554,-2.2448644,-2.716725371,-2.334209269,-2.315215799,-3.1631388,-2.7577864,-2.203797148
WB-MHT1130,-1.663171967,-2.381779921,-0.360787088,-2.43285491,-2.417607675,-0.645840168,-1.342684625,-2.519309428,-0.954882756,-2.976936924,-2.316430234,-1.915799587,-3.44127323,-3.553695119,-1.998014746,-1.10601334,-1.943595082,-2.689928026,-2.241800547,-2.055845988,-3.162237096,-2.531551993,-2.302422938
N-MHT1121,-1.83617598,-2.500512422,-0.335028555,-2.307941899,-2.495814971,-0.659966227,-1.291253531,-2.528673161,-1.005421032,-2.766174588,-2.412688575,-2.475949166,-3.475904316,-3.547181989,-2.148475293,-1.01833221,-2.447913831,-2.586249909,-2.090043938,-2.355120503,-3.118370309,-2.479175444,-2.367714519
N-MHT1122,-2.105132989,-2.61764689,-0.365852196,-2.668242484,-2.43796613,-0.640586773,-1.284348629,-2.438655931,-0.785573443,-3.270208891,-2.602622698,-2.512862769,-3.270139793,-3.166418834,-2.119317537,-1.212166295,-2.338326072,-2.904070436,-2.282664028,-2.189150833,-2.912013715,-2.642734652,-2.147887039
N-MHT1123,-1.664361527,-2.302177131,-0.352818271,-2.46617194,-2.303778224,-0.667351176,-1.248425036,-2.424577341,-0.898094973,-3.057548367,-2.43669656,-2.487561605,-3.386964757,-3.488481453,-2.163657992,-1.142867614,-2.385873436,-2.358445547,-2.459887973,-2.251616735,-2.840149423,-2.547012457,-2.030845199
N-MHT1124,-1.84308385,-2.499422857,-0.336649546,-2.386450218,-2.370368019,-0.672757708,-1.187760194,-2.469451065,-1.035459706,-2.755935514,-2.642740629,-2.564763833,-3.400842367,-3.605970033,-2.162572234,-1.021613873,-2.387774199,-2.792580571,-2.059412694,-2.165230873,-2.776166717,-2.530630359,-2.360772937
N-MHT1125,-1.765013854,-2.47805039,-0.341385261,-2.51144333,-2.391481651,-0.691731206,-1.11899362,-2.443044872,-1.013996558,-2.675886791,-2.658908567,-2.53678632,-3.125340973,-3.557453001,-2.104813674,-1.033086909,-2.329419272,-2.766924116,-2.214412353,-2.160282727,-2.800395919,-2.556263994,-2.428582048
N-MHT1126,-1.878532405,-2.549005311,-0.352530083,-2.281146205,-2.475545168,-0.64858525,-1.311818283,-2.463638022,-0.974592747,-2.538630035,-2.458096147,-2.546943529,-3.395729942,-3.533551903,-2.059068077,-0.989391635,-2.440670589,-2.525424436,-2.260777879,-2.318517242,-2.750844702,-2.561965145,-2.284659476
N-MHT1127,-1.75324729,-2.368178666,-0.334895321,-2.340662729,-2.267833204,-0.67097033,-1.104138295,-2.364231794,-1.005267889,-3.008153987,-2.243636568,-2.582582329,-3.271464446,-3.561084931,-2.145295275,-1.216160317,-2.479147984,-2.197696836,-2.499509302,-2.323562872,-2.92394525,-2.435104608,-2.046756449
N-MHT1128,-1.782705606,-2.452123421,-0.357320821,-2.328066702,-2.421893694,-0.687533673,-1.091940336,-2.395604577,-0.928876369,-2.701036712,-2.121221319,-2.429391024,-3.141812569,-3.439992592,-1.96682786,-1.151518872,-2.335914779,-2.832677611,-2.123792139,-2.192411235,-2.775456154,-2.677935782,-2.429988788
N-MHT1129,-2.121192719,-2.465839985,-0.334748975,-2.469790661,-2.417758248,-0.686354868,-1.258592978,-2.410696638,-0.923441625,-2.832325435,-2.658397591,-2.622704569,-3.451270754,-3.503278867,-2.068716274,-1.039535722,-2.445331867,-2.690034621,-2.245386877,-2.275650191,-2.775644019,-2.660605908,-2.124817683
N-MHT1130,-1.699066687,-2.370134783,-0.35682072,-2.359078089,-2.399200477,-0.674557872,-1.290568432,-2.458408529,-0.898471356,-2.906461985,-2.252055588,-2.607710293,-3.334603669,-3.479727131,-1.93897922,-1.060908123,-2.540061687,-2.628224998,-2.22745873,-2.375019537,-2.940236521,-2.48413002,-2.228744262
M-MHT1121,-1.858092885,-2.51754824,-0.354189385,-2.353102951,-2.470461054,-0.647005571,-1.308789798,-2.53490508,-1.032891212,-2.807306963,-2.40698053,-2.11768739,-3.426882276,-3.585559771,-2.142906313,-1.005796876,-1.959232076,-2.560165428,-2.008671863,-2.005269967,-2.848770899,-2.506139229,-2.332414651
M-MHT1122,-2.020440874,-2.552044505,-0.369974483,-2.75647188,-2.423291002,-0.606779971,-1.324962379,-2.482771019,-0.870761384,-3.155328426,-2.63396588,-2.117919125,-3.214946587,-3.185192959,-2.150204611,-1.213068077,-1.89077394,-2.946042909,-2.228693734,-1.933561968,-2.801994485,-2.674968226,-2.162356352
M-MHT1123,-1.70222615,-2.330099567,-0.359976887,-2.51713663,-2.301553011,-0.639768429,-1.276149318,-2.466779183,-0.935669691,-3.096021664,-2.493794306,-2.246313298,-3.377701225,-3.443601829,-2.180747514,-1.146026795,-2.02820169,-2.390868127,-2.392478187,-2.055903448,-2.763907237,-2.538933146,-2.041219665
M-MHT1124,-1.896108386,-2.517581804,-0.349874688,-2.464400711,-2.347788848,-0.628676471,-1.227264924,-2.493347011,-1.087650359,-2.767155586,-2.674464442,-2.400461299,-3.355326694,-3.588228865,-2.17203119,-1.016785285,-2.109466117,-2.801948137,-1.99774069,-2.040246409,-2.741321977,-2.513848378,-2.34805527
M-MHT1125,-1.817405751,-2.503888584,-0.355036321,-2.604416017,-2.391038302,-0.625827437,-1.180355674,-2.489400786,-1.10957965,-2.716960744,-2.740520689,-2.333728091,-3.130483096,-3.563006533,-2.121420577,-1.020661678,-2.093731321,-2.773949568,-2.107131227,-1.990860352,-2.702908867,-2.49868088,-2.390834974
M-MHT1126,-1.702239356,-2.458802154,-0.346792084,-2.418321578,-2.436286228,-0.581368461,-1.410551533,-2.568427129,-1.117771659,-2.588586387,-2.576363489,-2.296655918,-3.469089144,-3.574364466,-2.148883018,-1.051764559,-2.109836963,-2.657710256,-2.242911263,-2.190197153,-2.751818959,-2.568753023,-2.313820148
M-MHT1127,-1.787176142,-2.388012162,-0.345089635,-2.391154079,-2.260632494,-0.635365185,-1.147747762,-2.395734118,-1.054616164,-3.045766894,-2.290262302,-2.311606888,-3.234234155,-3.544228361,-2.130006454,-1.194380449,-2.113118489,-2.225861733,-2.408370214,-2.144089669,-2.927767653,-2.399206527,-2.027813224
M-MHT1128,-1.820807565,-2.455244365,-0.366885808,-2.377552128,-2.38546477,-0.652565015,-1.137517416,-2.427117914,-0.967066185,-2.719293071,-2.145565006,-2.328560728,-3.150743717,-3.428165448,-1.955138798,-1.1176366,-2.126901532,-2.86701982,-2.044472303,-2.127658002,-2.796571235,-2.655078157,-2.388795956
M-MHT1129,-2.118639489,-2.454135505,-0.343943444,-2.510267389,-2.395733688,-0.64910335,-1.289273834,-2.425670361,-0.968507459,-2.848291305,-2.666301875,-2.452607436,-3.409479611,-3.488944812,-2.067610031,-1.031599336,-2.194253966,-2.708223889,-2.178852169,-2.24713888,-2.916324647,-2.632680392,-2.104778714
M-MHT1130,-1.635942586,-2.38171871,-0.354003489,-2.547842721,-2.384781645,-0.578730374,-1.415822636,-2.590519803,-1.081704841,-3.005010395,-2.416876757,-2.364143035,-3.42493039,-3.533407194,-2.016487894,-1.101183152,-2.098096354,-2.738525724,-2.160009158,-2.096903239,-2.758472302,-2.465403593,-2.235080338
WB-MHT1131,-1.85672262,-2.593840277,-0.351897984,-2.433479272,-2.451497182,-0.673533258,-1.161956817,-2.319406026,-0.911316107,-2.9878386,-2.33895665,-2.064997979,-3.345347721,-3.464854129,-2.222741663,-1.148649223,-2.07345421,-2.914156421,-2.340191872,-2.162538645,-3.159803171,-2.706088803,-2.22112589
WB-MHT1132,-1.755585921,-2.287395204,-0.356218874,-2.258135365,-2.303270445,-0.681913771,-1.27450534,-2.352797311,-0.935318501,-2.490099829,-2.279396986,-2.227379879,-3.401802865,-3.50393547,-2.017915257,-1.043310478,-2.228088504,-2.499288228,-2.299095349,-2.270241483,-3.047532908,-2.527874848,-2.328666326
WB-MHT1133,-1.67864383,-2.737218011,-0.294789897,-2.175439975,-2.723746327,-0.713802115,-1.331476719,-2.506305252,-1.009264112,-2.552608906,-2.160939289,-2.052656174,-3.444919424,-3.542312264,-2.112874194,-1.235120956,-2.06051541,-2.442113434,-2.400448591,-2.150753609,-3.083287479,-2.616880151,-2.282024764
WB-MHT1134,-1.530621929,-2.595722492,-0.303931588,-1.986415938,-2.440671576,-0.702928434,-1.151450634,-2.282569285,-1.261480882,-2.810897297,-2.411364563,-1.939511328,-3.309751613,-3.543766756,-2.152671359,-1.179080058,-1.950248495,-2.714181731,-2.250102363,-2.06991215,-3.233027967,-2.514464257,-2.421984491
WB-MHT1135,-1.600967321,-2.343764751,-0.348133501,-2.246927492,-2.374463944,-0.704529707,-1.208682446,-2.450505088,-0.930189436,-2.489796548,-2.093580358,-2.250571745,-3.38098478,-3.671155228,-1.98440637,-1.123478823,-2.218642624,-2.590580643,-2.32353478,-2.263715419,-3.138869631,-2.47461301,-2.447875201
WB-MHT1136,-1.816584236,-2.439230796,-0.30500351,-2.158849726,-2.460781042,-0.766271,-1.183114342,-2.313193232,-1.07963823,-2.660125165,-2.406627646,-2.139816946,-3.298814036,-3.458574811,-1.950653165,-1.043482178,-2.090836123,-2.733727136,-2.170272516,-2.175418672,-3.018435328,-2.635262262,-2.232375459
WB-MHT1137,-1.847202747,-2.538524108,-0.35739536,-2.517415121,-2.388358032,-0.655092174,-1.266159997,-2.426498289,-0.875833041,-3.15156248,-2.287692125,-2.173826343,-3.369194678,-3.394978606,-2.286298255,-1.140686285,-2.15725556,-2.980589993,-2.175030995,-2.167614844,-2.968278967,-2.631772216,-2.145225692
WB-MHT1138,-1.928690141,-2.463527254,-0.351408593,-2.434502937,-2.353854286,-0.64742707,-1.222223326,-2.424802526,-1.032840211,-2.790703779,-2.714228833,-2.206532497,-3.249080428,-3.495966483,-1.984475205,-1.053395341,-2.132444893,-2.811539178,-2.05328237,-2.105168652,-2.934620017,-2.487519786,-2.06187357
WB-MHT1139,-1.54012748,-2.227239644,-0.359558919,-2.346046979,-2.22626945,-0.644370237,-1.232805703,-2.490240336,-1.0531475,-2.601501807,-2.402846772,-2.081375097,-3.388776303,-3.561984649,-1.938569374,-1.109197776,-2.083264279,-2.50710197,-2.226894662,-2.163512458,-3.25125858,-2.543841288,-2.212680711
WB-MHT1140,-1.809811443,-2.557062305,-0.344956953,-2.787852219,-2.309407681,-0.553743527,-1.34475493,-2.626179618,-1.328569621,-2.725397377,-2.729794004,-1.999620767,-3.358493966,-3.742837785,-2.333462284,-1.104379737,-1.893092492,-2.951885506,-2.141896289,-1.814684194,-2.888641247,-2.822583166,-2.449542987
N-MHT1131,-1.882513788,-2.58313655,-0.3458269,-2.352382279,-2.439841548,-0.715437445,-1.121594965,-2.268027503,-0.856502605,-2.908472362,-2.25798022,-2.635671148,-3.299780094,-3.44170542,-2.173954698,-1.142482504,-2.55183688,-2.868553688,-2.394296575,-2.375803409,-2.935061396,-2.456991081,-2.203400522
N-MHT1132,-1.782340639,-2.286519891,-0.357529899,-2.212495755,-2.285934195,-0.685999529,-1.268028335,-2.340870497,-0.934243788,-2.476792139,-2.273443561,-2.573388382,-3.337993107,-3.475815877,-2.007738393,-1.02394483,-2.461289113,-2.475686928,-2.250278286,-2.262518729,-2.763260353,-2.34850789,-2.309157472
N-MHT1133,-1.735082908,-2.731966542,-0.311816902,-2.102812319,-2.71011723,-0.719349701,-1.284445806,-2.430478824,-0.965177759,-2.477118925,-2.091099449,-2.595644358,-3.382719715,-3.436946117,-2.045023057,-1.138051646,-2.51031339,-2.368788192,-2.281123453,-2.302623839,-2.815531781,-2.432291667,-2.15598662
N-MHT1134,-1.55298729,-2.578132303,-0.305770705,-1.954470553,-2.423866109,-0.699536985,-1.132827829,-2.231621621,-1.220476956,-2.772465232,-2.512830178,-2.698105973,-3.27604843,-3.483673438,-2.074647532,-1.108372535,-2.57711752,-2.63808677,-2.148271362,-2.331592298,-2.97822889,-2.521161502,-2.324856175
N-MHT1135,-1.626608279,-2.345922207,-0.346185558,-2.240457389,-2.376901844,-0.710602931,-1.206366103,-2.445019634,-0.923270719,-2.477957164,-2.089417056,-2.552159561,-3.407808976,-3.659096381,-1.969036649,-1.099847231,-2.424971314,-2.576392868,-2.282864131,-2.262023723,-2.913752221,-2.479918587,-2.433687236
N-MHT1136,-1.830375403,-2.423677216,-0.305853914,-2.115294527,-2.455297043,-0.807805102,-1.15114396,-2.262738295,-1.028152065,-2.619542607,-2.332511489,-2.64914231,-3.265821063,-3.42213846,-1.877294974,-1.006894773,-2.472359356,-2.646482341,-2.159079346,-2.314426011,-2.809250852,-2.674129487,-2.16305869
N-MHT1137,-1.836192167,-2.493610869,-0.346520242,-2.467681181,-2.382525617,-0.683921313,-1.247583479,-2.406066495,-0.843052426,-3.021995057,-2.254507772,-2.478189893,-3.373930596,-3.382884004,-2.291186843,-1.161476913,-2.3727767,-2.991712326,-2.226604082,-2.232036833,-2.811580031,-2.651415038,-2.170874235
N-MHT1138,-1.952207442,-2.43271766,-0.338125265,-2.393794025,-2.347628775,-0.675236038,-1.200375478,-2.384615969,-1.005001277,-2.783115911,-2.697243127,-2.617110108,-3.228025469,-3.479000999,-1.983312291,-1.054125678,-2.370429562,-2.811308569,-2.098796191,-2.164308695,-2.734136857,-2.525030307,-2.077708905
N-MHT1139,-1.527582664,-2.215069646,-0.348891071,-2.309791165,-2.231261075,-0.657354588,-1.211073173,-2.457230741,-1.027182962,-2.533844194,-2.363431593,-2.610887194,-3.395176029,-3.527118066,-1.921705143,-1.108633987,-2.571372097,-2.487147896,-2.280652975,-2.417360456,-3.130474906,-2.547379776,-2.198677175
N-MHT1140,-1.888020949,-2.565809548,-0.3746033,-2.673236433,-2.356005403,-0.636963783,-1.220886578,-2.458981903,-1.126845035,-2.482211231,-2.541664303,-2.600330471,-3.271818914,-3.528772707,-2.175124424,-0.881343555,-2.377223838,-2.696991958,-1.925693607,-2.104650564,-2.734126987,-2.525400586,-2.104708517
M-MHT1131,-1.873973889,-2.534041511,-0.339796626,-2.379240356,-2.408465952,-0.691688977,-1.141477676,-2.286522932,-0.898869747,-2.973480737,-2.308235284,-2.454254493,-3.305016534,-3.467995765,-2.217396247,-1.168266292,-2.257179745,-2.926337217,-2.371990929,-2.209997623,-2.869811062,-2.688479697,-2.220501882
M-MHT1132,-1.815403751,-2.297731138,-0.357055569,-2.282946764,-2.294437314,-0.660841475,-1.294170887,-2.367276728,-0.970847808,-2.521069718,-2.321792306,-2.420966485,-3.386373712,-3.473883997,-2.03045813,-1.027934099,-2.183516924,-2.505011451,-2.214400236,-2.136152975,-2.711058393,-2.478983564,-2.299261167
M-MHT1133,-1.707330109,-2.677602072,-0.31339571,-2.206040247,-2.664463434,-0.662960293,-1.342815515,-2.496407556,-1.040644949,-2.588945244,-2.181007705,-2.423844719,-3.389827462,-3.473986849,-2.088137107,-1.146994123,-2.231241017,-2.422614172,-2.225377408,-2.193657714,-2.805691836,-2.537624156,-2.169672008
M-MHT1134,-1.618499235,-2.613826687,-0.310290657,-2.033132088,-2.436205998,-0.671726703,-1.159585384,-2.273349797,-1.25796738,-2.825504981,-2.603571583,-2.533125034,-3.334168823,-3.501604102,-2.091707126,-1.088379993,-2.281790439,-2.672018864,-2.102244629,-2.194562637,-2.960291777,-2.56209262,-2.315960613
M-MHT1135,-1.657815584,-2.343302629,-0.348319625,-2.295612128,-2.371178227,-0.677080328,-1.228092642,-2.456294546,-0.969103283,-2.601554195,-2.160434676,-2.369841745,-3.408313146,-3.668664084,-1.99837673,-1.101087123,-2.150722937,-2.616356807,-2.224219108,-2.130514898,-2.870593521,-2.542691826,-2.433991497
M-MHT1136,-1.883670253,-2.447222317,-0.312392486,-2.199271087,-2.467819046,-0.750077831,-1.193756161,-2.316395078,-1.0778184,-2.698128598,-2.427733948,-2.41521355,-3.287352815,-3.442525019,-1.928356739,-1.000190308,-2.18682699,-2.690517566,-2.086801111,-2.18726219,-2.812023634,-2.673363424,-2.171872197
M-MHT1137,-1.838706865,-2.514108178,-0.36022872,-2.552904793,-2.381293679,-0.639154406,-1.281435776,-2.412511735,-0.901703626,-3.172317119,-2.286392746,-2.339339541,-3.320547131,-3.388935852,-2.273593036,-1.118614684,-2.136515176,-2.968043963,-2.124408118,-2.133646037,-2.837354155,-2.677340676,-2.106186764
M-MHT1138,-2.051502893,-2.488196713,-0.356312306,-2.501563393,-2.341237731,-0.613204033,-1.264867343,-2.446724529,-1.087412708,-2.69835535,-2.760804413,-2.381751737,-3.207323532,-3.450708063,-1.980410728,-1.023462358,-2.096812879,-2.818877902,-1.990670833,-2.11388963,-2.863070846,-2.463161263,-2.028825431
M-MHT1139,-1.608837589,-2.256737188,-0.36214678,-2.372187307,-2.228320154,-0.63324862,-1.247087781,-2.47512759,-1.060625617,-2.592890338,-2.425939849,-2.399836571,-3.430953556,-3.530210595,-1.920208761,-1.070389053,-2.1358761,-2.498189037,-2.168484152,-2.110413499,-2.877637203,-2.503226094,-2.160552267
M-MHT1140,-1.90560653,-2.597324726,-0.37944106,-2.712151601,-2.34526452,-0.605577104,-1.263613852,-2.498448219,-1.189845676,-2.586432227,-2.619222449,-2.379594714,-3.293926731,-3.555891678,-2.202552833,-0.899545597,-2.055687522,-2.768571536,-1.881367331,-1.960379392,-2.638387824,-2.531139677,-2.097996901
WB-MHT1141,-1.757834073,-2.393421982,-0.374336747,-2.429323557,-2.382969187,-0.655790529,-1.268891239,-2.416688289,-0.988836766,-2.557965544,-2.370721818,-2.208731193,-3.312163928,-3.543131148,-2.03399749,-0.987132558,-2.133821373,-2.558896763,-2.075793257,-2.084714519,-2.89706868,-2.38869527,-2.140832272
WB-MHT1142,-1.792791392,-2.552788451,-0.378044877,-2.605090542,-2.390004634,-0.646042594,-1.302899073,-2.457774516,-0.911708355,-2.864286841,-2.43648663,-2.225403495,-3.362896584,-3.324548085,-2.021472092,-1.023090037,-2.112479222,-2.811118859,-2.112202689,-2.087562024,-2.827809562,-2.586578786,-2.151109186
WB-MHT1143,-1.778800673,-2.440519771,-0.366489725,-2.265918961,-2.402897436,-0.650623805,-1.270178831,-2.383696963,-0.970788472,-2.718963581,-2.434978713,-2.101651812,-3.27188161,-3.510670839,-1.916322825,-1.070174291,-2.054287601,-2.871823795,-2.115954893,-2.091856537,-2.801636238,-2.462232984,-2.19053454
WB-MHT1144,-1.760607295,-2.37730727,-0.333497725,-2.166993389,-2.376460491,-0.724480594,-1.202019643,-2.364387545,-0.991017894,-2.770718525,-2.255110105,-1.969028384,-3.339821557,-3.548786333,-2.040674072,-1.124030945,-1.967508236,-2.977316837,-2.261090922,-2.059277523,-2.923208264,-2.396544834,-2.310258303
WB-MHT1145,-1.917439765,-2.586100521,-0.347668375,-2.138133407,-2.470605398,-0.678012335,-1.295220588,-2.426002001,-1.054173636,-2.600617242,-2.424333697,-2.088845569,-3.348636082,-3.514627431,-2.054696537,-0.965317671,-2.034239686,-2.526485728,-2.144277166,-2.090268104,-2.887655389,-2.419556925,-2.211525132
WB-MHT1146,-1.633735679,-2.299974232,-0.323154719,-2.32820401,-2.248889487,-0.669587958,-1.218144169,-2.469073821,-1.140399731,-2.571518524,-2.510268413,-2.18846752,-3.368015502,-3.68654296,-2.105155325,-1.104755344,-2.1179111,-2.628728033,-2.13730731,-2.134459617,-2.918351152,-2.467242938,-2.56085491
WB-MHT1147,-1.802219354,-2.47407378,-0.369705843,-2.361865362,-2.348021229,-0.674264067,-1.231342064,-2.394536756,-0.995879715,-2.438237377,-2.576095775,-2.34104991,-3.249936564,-3.343018357,-1.900517737,-0.966030461,-2.335875898,-2.681506919,-1.935807465,-2.288969034,-2.99092905,-2.183681157,-2.358501091
WB-MHT1148,-1.660819633,-2.238872746,-0.363936292,-2.125676401,-2.242001112,-0.649140827,-1.257975434,-2.456896312,-1.041014494,-2.844365772,-2.370119845,-2.02192118,-3.268195956,-3.537326043,-1.978418536,-1.097112426,-2.028078802,-2.429528125,-2.144895927,-2.096552074,-3.04042545,-2.225841645,-2.237282791
WB-MHT1149,-1.704384781,-2.440856142,-0.357984551,-2.397955912,-2.384862359,-0.655789867,-1.202867224,-2.542730299,-0.957137204,-2.664307104,-2.419537868,-2.174247207,-3.285724897,-3.479063094,-2.013325301,-1.162778838,-2.103332753,-2.303124791,-2.408118349,-2.127462178,-2.932625117,-2.363380171,-2.00894317
WB-MHT1150,-1.984356674,-2.59116205,-0.382502759,-2.441142382,-2.435649311,-0.669671596,-1.314218942,-2.388249374,-0.796145986,-2.895471612,-2.460997728,-2.133889709,-3.372444362,-3.392273143,-2.136415824,-1.08860936,-2.082679798,-2.649706607,-2.313858927,-2.14574529,-3.00219,-2.439051197,-2.117537545
N-MHT1141,-1.780957124,-2.379918482,-0.369224607,-2.390786785,-2.378608475,-0.668666537,-1.251983408,-2.388733031,-0.966336729,-2.535737375,-2.358334288,-2.57807926,-3.327472769,-3.521263213,-2.033671187,-0.977242923,-2.372125439,-2.564697399,-2.093607839,-2.150551254,-2.752875179,-2.38864504,-2.153843713
